id	year	group	 NDA 	 A_inverse 	 REV_REC_diff 	PPE
32256	1970	Food processing and beverage	0.4638	0.0176	0.3061	0.2826
10516	1970	Food processing and beverage	0.2037	0.0069	0.9785	0.7095
46252	1970	Food processing and beverage	0.1962	0.0106	0.2236	0.6735
49736	1970	Food processing and beverage	0.1904	0.0391	0.2702	0.8397
24539	1970	Food processing and beverage	0.1133	0.0034	0.0945	0.8803
13856	1970	Food processing and beverage	0.0853	0.0018	0.3220	0.7659
27158	1970	Food processing and beverage	0.0677	0.0058	0.8163	0.7511
14955	1970	Food processing and beverage	0.0901	0.0021	4.3434	1.0241
13901	1970	Food processing and beverage	0.0599	0.0010	0.2722	0.4036
36281	1970	Food processing and beverage	0.0537	0.0227	0.3112	0.4782
22840	1970	Food processing and beverage	0.0494	0.0015	0.0207	0.5123
36329	1970	Food processing and beverage	0.0507	0.0375	0.3061	0.8226
42219	1970	Food processing and beverage	0.0467	0.0325	0.2296	0.7285
16600	1970	Food processing and beverage	0.0430	0.0049	0.1667	0.6978
29946	1970	Food processing and beverage	0.0417	0.0058	0.0266	0.2680
38324	1970	Food processing and beverage	0.0419	0.0046	0.2115	0.7200
34892	1970	Food processing and beverage	0.0400	0.0376	0.0012	0.6566
13311	1970	Food processing and beverage	0.0385	0.0021	0.3322	0.9376
49023	1970	Food processing and beverage	0.0415	0.0504	-0.1459	0.6157
27510	1970	Food processing and beverage	0.0501	0.0263	0.4955	1.3185
39853	1970	Food processing and beverage	0.0405	0.0142	0.0809	0.6956
23077	1970	Food processing and beverage	0.0353	0.0015	0.1520	0.6047
19940	1970	Food processing and beverage	0.0281	0.0020	0.0361	0.4829
14816	1970	Food processing and beverage	0.0265	0.0494	0.1055	0.7806
40707	1970	Food processing and beverage	0.0274	0.0022	-0.0027	0.6938
45081	1970	Food processing and beverage	0.0263	0.0035	0.1546	1.1609
41582	1970	Food processing and beverage	0.0280	0.0111	2.8160	0.6596
35756	1970	Food processing and beverage	0.0174	0.0276	0.4145	1.1263
17670	1970	Food processing and beverage	0.0156	0.0170	-0.0186	0.2303
14533	1970	Food processing and beverage	0.0145	0.0018	0.1157	0.7258
17953	1970	Food processing and beverage	0.0142	0.0016	0.4102	0.6764
33013	1970	Food processing and beverage	0.0129	0.0170	-0.1452	0.6127
17144	1970	Food processing and beverage	0.0138	0.0015	0.1396	0.7201
39247	1970	Food processing and beverage	0.0129	0.0272	-0.0097	0.4623
49031	1970	Food processing and beverage	0.0135	0.0507	1.0030	1.1620
30365	1970	Food processing and beverage	0.0118	0.0020	0.1799	0.6253
38922	1970	Food processing and beverage	0.0098	0.0404	0.0888	0.2812
16109	1970	Food processing and beverage	0.0039	0.0007	0.1777	0.6921
33232	1970	Food processing and beverage	-0.0004	0.0480	0.0278	0.3293
26825	1970	Food processing and beverage	-0.0026	0.0032	0.2515	0.8985
10989	1970	Food processing and beverage	-0.0033	0.0011	0.1732	0.8948
49437	1970	Food processing and beverage	-0.0035	0.0058	3.4535	0.6665
25320	1970	Food processing and beverage	-0.0050	0.0018	0.1230	0.9698
15077	1970	Food processing and beverage	-0.0060	0.0145	0.2441	0.5110
19174	1970	Food processing and beverage	-0.0055	0.0030	-0.0922	0.2831
12044	1970	Food processing and beverage	-0.0077	0.0062	0.1560	0.2978
28353	1970	Food processing and beverage	-0.0091	0.0015	0.2754	0.8090
11308	1970	Food processing and beverage	-0.0101	0.0011	0.2867	0.8129
25910	1970	Food processing and beverage	-0.0133	0.0081	0.3935	0.6375
35246	1970	Food processing and beverage	-0.0155	0.1007	0.1465	0.8123
47562	1970	Food processing and beverage	-0.0145	0.0065	0.1062	0.4930
10225	1970	Food processing and beverage	-0.0163	0.0007	0.0488	0.4042
39263	1970	Food processing and beverage	-0.0178	0.0066	0.0140	1.2121
17267	1970	Food processing and beverage	-0.0175	0.0028	0.1567	0.7948
16360	1970	Food processing and beverage	-0.0181	0.0029	0.0601	0.8405
22429	1970	Food processing and beverage	-0.0180	0.0051	0.1658	0.6814
13354	1970	Food processing and beverage	-0.0232	0.0011	-0.0283	0.6580
22277	1970	Food processing and beverage	-0.0236	0.0030	0.5184	0.4384
